Product,Flag Key,Description,Created Date,Archived,Enabled In Prod,ukg-expiry-date,Rules Details,Fallthrough Variation,Variations,Default On Variation,Default Off Variation,jira issues
Migration-Tool,enable-protime-migration-tool-api-data-retrieval,Controls whether the migration tool uses API for configuration data retrieval,5/13/26 3:17,FALSE,FALSE,8/8/26,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-743202
UTM,fix-mobile-app-utm-time-clock-stale-data,"The UTM Time Clock page doesn't refresh the data when the user navigates to the page from another webview in the app. When the flag is enabled, the customer will be presented with a refreshed list of punches",4/1/26 15:10,FALSE,TRUE,1/13/27,,Enabled (true),"name=Enabled, value=true, description=When the user navigates to the UTM Time Clock page from another webview in the app, the user will be presented with a refreshed list of punches; name=Disabled, value=false, description=When the user navigates to the UTM Time Clock page from another webview in the app, the list of punches will not be refreshed",Enabled (true),Disabled (false),PS-633687
UTM,fix-mobile-app-utm-utc-date-display,"Controls whether the dates being displayed on UTM timesheet pay period view, the timesheet day view and team time off pages should be displayed in UTC",4/28/26 19:54,FALSE,TRUE,9/17/26,"Affected Customers: activation-code.key in [cibtholdings, avidityscience, ez3castl3] -> var: true (Enabled)",Enabled (true),"name=Enabled, value=true, description=When the user navigates to UTM timesheet pay period view, the timesheet day view or team time off page, the dates should not be converted to UTC timezone; name=Disabled, value=false, description=When the user navigates to UTM timesheet pay period view, the timesheet day view or team time off page, the dates should be displayed in UTC timezone",Enabled (true),Disabled (false),PS-860168
UTM,fix-utm-attestation-email-supervisor-name,Controls whether the fix that displays the supervisor's full name instead of their username in the attestation submission email sent to employees is applied. UtmSettings: FixUtmAttestationEmailSupervisorName,5/26/26 13:24,FALSE,FALSE,4/24/27,,Enabled (true),"name=Enabled, value=true, description=The fix that displays the supervisor's full name instead of their username in the attestation submission email sent to employees is applied.; name=Disabled, value=false, description=The fix that displays the supervisor's full name instead of their username in the attestation submission email sent to employees is not applied.",Enabled (true),Disabled (false),PS-894450
UTM,fix-utm-ics-outlook-support,"Controls whether to apply fixes to ICS file generation for time off requests, improving compatibility with the Windows Outlook App. Enabling this flag updates how cancellation and partial day requests are handled so that .ics files import correctly in the new Windows Outlook App, and single partial-day requests display accurate times. UtmSettings: FixUtmIcsOutlookSupport",4/7/26 23:39,FALSE,FALSE,1/13/27,,Enabled (true),"name=Enabled, value=true, description=Enables new compatible .ics file formatting for canceled time off requests, ensuring successful event removal and error-free calendar updates in the new Outlook app for Windows.; name=Disabled, value=false, description=Retains legacy .ics file generation behavior. Canceled time off requests and partial-day events may not display or import correctly in the new Windows Outlook App.",Enabled (true),Disabled (false),PS-709594
UTM,fix-utm-news-mobile-punch-lockout,Enables fix for day index offset issue when checking employee lockout settings in EmployeePunch endpoint in MobileServices. UtmSettings: FixNewsMobilePunchLockout,4/3/26 17:23,FALSE,TRUE,12/31/27,tenant.id in [b49e6883-b861-4b66-b39d-67538eb02b56] -> var: true (Enabled),Disabled (false),"name=Enabled, value=true, description=Enable employee punch lockout fix; name=Disabled, value=false, description=Disable employee punch lockout fix",Enabled (true),Disabled (false),PS-807125
UTM,fix-utm-post-pay-code-fox-pro-errors,Controls whether the fix for FoxPro errors in post pay code processing is applied. UtmSettings: FixUtmPostPayCodeFoxProErrors,4/8/26 15:26,FALSE,FALSE,1/13/27,,Enabled (true),"name=Enabled, value=true, description=The fix for FoxPro errors in post pay code processing is applied.; name=Disabled, value=false, description=The fix for FoxPro errors in post pay code processing is not applied.",Enabled (true),Disabled (false),PS-736427
UTM,fix-utm-post-pay-code-fox-pro-nest,Controls whether the fix for FoxPro nested call errors in post pay code processing is applied. UtmSettings: FixUtmPostPayCodeFoxProNest,4/8/26 15:09,FALSE,FALSE,1/13/27,,Enabled (true),"name=Enabled, value=true, description=The fix for FoxPro nested call errors in post pay code processing is applied.; name=Disabled, value=false, description=The fix for FoxPro nested call errors in post pay code processing is not applied.",Enabled (true),Disabled (false),PS-736427
UTM,fix-utm-pro-sync-service-race-condition,Controls whether the UTM Sync Service should send authentication requests from multiple servers simultaneously for the same client,4/17/26 16:21,FALSE,TRUE,2/1/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-852015
UTM,fix-utm-silent-finally-abort,"Controls whether COM object release calls inside Finally blocks are wrapped in a Try/Catch to prevent silent abort — avoiding abandoned mutexes, orphaned PROCESSLOCK rows, and COM reference leaks. UtmSettings: FixUtmSilentFinallyAbort",5/27/26 12:49,FALSE,FALSE,12/24/26,,Enabled (true),"name=Enabled, value=true, description=COM object release calls inside Finally blocks are wrapped in a Try/Catch, ensuring ExecuteMutex is always released, LogProcessComplete always closes the PROCESSLOCK row, and GC_DLL always cleans up the COM reference.; name=Disabled, value=false, description=COM object release calls inside Finally blocks are not wrapped in a Try/Catch — an exception from releaseall() silently aborts the Finally, leaving ExecuteMutex abandoned, PROCESSLOCK rows unclosed, and COM references leaked.",Enabled (true),Disabled (false),PS-858240
UTM,utm-allow-aws-direct-login,Controls whether AWS direct login is allowed. UtmSettings: AllowAWSDirectLogin.,3/10/26 14:30,FALSE,TRUE,12/31/99,Disable by Client.Id: client.id in [ALMAC] -> var: false (Disallowed),Allowed (true),"name=Allowed, value=true, description=AWS Direct Login is allowed; name=Disallowed, value=false, description=AWS Direct Login is disallowed",Disallowed (false),Allowed (true),PS-772687
UTM,utm-allow-mx-rebrand,Controls whether the MX theme and Rebrand styles should be displayed in UTM. UtmSettings: AllowMxRebrand,3/19/26 21:27,FALSE,FALSE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=MX theme and Rebrand styles  are displayed in UTM; name=Disabled, value=false, description=Classic theme is displayed in UTM",Enabled (true),Disabled (false),PS-669435
UTM,utm-allow-ptms-deprecated,"UTM flag for PTMS deprecation. When enabled (with master prerequisite 'release-global-ptms-deprecated'), UTM routes against TRex instead of calling TMS. UtmSettings: AllowPtmsDeprecated",3/23/26 13:57,FALSE,TRUE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=UTM works with TReX instead of TMS; name=Disabled, value=false, description=UTM works with TMS instead of TReX",Enabled (true),Disabled (false),PS-767599
UTM,utm-allow-skip-removed-kafka-msg,Controls whether the UTM Messaging Service excludes the notifications with Removed status when processing messages from KAFKA_MESSAGES table. UtmSettings: AllowSkipRemovedKafkaMsg,3/19/26 16:26,FALSE,TRUE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=Skip notifications with Removed status when processing messages from KAFKA_MESSAGES table; name=Disabled, value=false, description=Don't skip notifications with Removed status when processing messages from KAFKA_MESSAGES table",Enabled (true),Disabled (false),PS-792282
UTM,utm-allow-skip-removed-kafka-msgs,Controls whether the UTM Messaging Service excludes the notifications with Removed status when processing messages from KAFKA_MESSAGES table. UtmSettings: AllowSkipRemovedKafkaMsgs,3/18/26 14:11,TRUE,FALSE,12/31/99,,Disabled (false),"name=Enabled, value=true, description=Skip notifications with Removed status when processing messages from KAFKA_MESSAGES table; name=Disabled, value=false, description=Don't skip notifications with Removed status when processing messages from KAFKA_MESSAGES table",Enabled (true),Disabled (false),PS-792282
UTM,utm-approved-calc-engine-version,Controls which calculation engine version is approved for use. UtmSettings: ApprovedCalcEngineVersion.,3/10/26 14:30,FALSE,TRUE,12/31/99,"Calc Engine Version 1: tenant.id in [62209e19-7836-44bb-8627-42e8abd9fe83, 57b12d35-6f9d-45bd-958b-f510e51edc13] -> var: 1 (1: NOVA4000 Merge of UTM and Ascentis)",0: NOVA4000 UTM (0),"name=0: NOVA4000 UTM, value=0, description=NOVA4000 UTM calculation engine; name=1: NOVA4000 Merge of UTM and Ascentis, value=1, description=NOVA4000 Merge of UTM and Ascentis calculation engine; name=2: NOVA5000 FoxPro, value=2, description=NOVA5000 FoxPro calculation engine; name=3: NOVA5000 .NET, value=3, description=NOVA5000 .NET calculation engine",0: NOVA4000 UTM (0),0: NOVA4000 UTM (0),PS-772687
UTM,utm-enable-mx-rebrand,Controls whether the MX theme and Rebrand styles should be displayed in UTM. UtmSettings: UtmEnableMxRebrand,3/12/26 22:45,TRUE,FALSE,12/31/99,,Disabled (false),"name=Enabled, value=true, description=MX theme and Rebrand styles  are displayed in UTM; name=Disabled, value=false, description=Classic theme is displayed in UTM",Disabled (false),Enabled (true),PS-669435
UTM,utm-enable-pto-request-refactor,"Controls whether to send pto notifications before accruals recalculate, or after. Also checks if manager has access to employee's pto request.",3/21/26 3:43,FALSE,TRUE,12/31/30,,Enabled (true),"name=Enabled, value=true, description=PTO Request notifications are sent before accruals calc job; name=Disabled, value=false, description=Existing Behavior - PTO Request notifications are sent after accruals calc job",Disabled (false),Enabled (true),PS-683265
UTM,utm-fix-accrual-repo-adjustments-rounding,Controls whether to round the accrual_post.nused in GetAccrualBalances in AccrualRepository.cs,3/21/26 3:43,FALSE,TRUE,12/31/30,,Enabled (true),"name=Enabled, value=true, description=Rounds the accrual_post.nused field in query; name=Disabled, value=false, description=Existing Behavior - does not round accrualpost.nused field in query",Disabled (false),Enabled (true),PS-708649
UTM,utm-fix-concurrent-payroll-process-exceptions-report,Controls whether to fix issue in ConcurentPayrollProcessEx_PR.vb,3/25/26 18:39,FALSE,TRUE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=Replaces spaces character in text field name with underscore to avoid error.; name=Disabled, value=false, description=Original behavior: report crashes.",Enabled (true),Disabled (false),PS-790426
UTM,utm-fix-ical-sql-timeout,Controls whether to add empSeq filter in GetAllRequestsWithSameICal in PtoRequestRepository.cs,3/21/26 3:43,FALSE,TRUE,12/31/30,,Enabled (true),"name=Enabled, value=true, description=Add empseq filter to query; name=Disabled, value=false, description=Existing Behavior - does not filter by employee",Disabled (false),Enabled (true),PS-672409
UTM,utm-fix-timesheet-summary-header,Controls whether to add a span to timesheet summary header in Timesheet Summary Angular page,3/21/26 3:43,FALSE,TRUE,12/31/30,,Enabled (true),"name=Enabled, value=true, description=Adds span to timesheet summary header; name=Disabled, value=false, description=Existing Behavior - No span in timesheet summary header",Disabled (false),Enabled (true),PS-676954
,allow-protime-schedule-data-import-controller-security-fix,Allows enabling canonical path validation to prevent the Absolute Path Traversal vulnerability in the schedule data import controller.,6/4/26 10:39,FALSE,FALSE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Allowed canonical path check for schedule data import controller; name=Disallowed, value=false, description=Disallowed canonical path check for schedule data import controller",Allowed (true),Disallowed (false),PS-813704
WFM-Classic,allow-protime-wfm-classic-accruals-pausing-during-probation-period,Feature flag to enable accruals pausing during probation period.,5/19/26 13:57,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature flag will be turned ON accruals pausing during probation period.; name=Disabled, value=false, description=Feature flag will be turned OFF accruals not pausing during probation period.",Enabled (true),Disabled (false),PS-889762
WFM-Classic,allow-protime-wfm-classic-ee-persona-property-audit,Feature flag to enable entries in the EE Persona Property Audit Table.,5/14/26 9:59,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature flag to enable entries in the EE Persona Property Audit Table.; name=Disabled, value=false, description=Feature flag to enable entries in the EE Persona Property Audit Table.",Enabled (true),Disabled (false),PS-886414
WFM-Classic,allow-protime-wfm-classic-preferred-firstname,Feature Flag To check Preferred Firstname.,4/6/26 7:26,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To check Preferred Firstname.; name=Disabled, value=false, description=Feature Flag To check Preferred Firstname.",Enabled (true),Disabled (false),PS-798865
WFM-Classic,allow-protime-wfm-classic-report-stored-xss-protection,Allow stored XSS protection for WFM Classic reports,1/9/26 14:36,FALSE,TRUE,12/31/26,,Allowed (true),"name=Allowed, value=true, description=Allowed stored XSS protection for WFM Classic reports; name=Disallowed, value=false, description=Disallowed stored XSS protection for WFM Classic reports",Allowed (true),Disallowed (false),PS-694364
WFM-Classic,allow-protime-wfm-classic-reporting-initial-balance-gap-fix,Feature Flag to fix initial balance gap detection by using pgpa1.valid_to instead of next_valid_from in the HAVING clause of the accrual balance queries,5/25/26 7:40,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Enable the initial balance gap fix - uses pgpa1.valid_to for gap detection; name=Disabled, value=false, description=Disable the initial balance gap fix - uses original next_valid_from for gap detection",Enabled (true),Disabled (false),PS-802516
WFM-Classic,allow-protime-wfm-classic-reporting-pbj-report-changes,Feature Flag to add new specification version for PBJ Report which will allow trimming of work hours,4/27/26 9:43,FALSE,FALSE,12/31/26,,Allowed (true),"name=Allowed, value=true, description=New PBJ specification version is active with work hour trimming enabled; name=Disallowed, value=false, description=Using current PBJ specification without work hour trimming",Allowed (true),Disallowed (false),PS-818883
WFM-Classic,allow-protime-wfm-classic-rounding-off-balances-manual-transactions,Feature Flag To manage rounding “off balances issue for decimals value ending with 3 in manual transactions.,3/30/26 10:17,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To manage rounding off balances issue for decimals value ending with 3 in manual transactions.; name=Disabled, value=false, description=Feature Flag To manage rounding off balances issue for decimals value ending with 3 in manual transactions.",Enabled (true),Disabled (false),PS-707156
WFM-Classic,allow-protime-wfm-classic-sort-fix,Feature Flag To manage sorting of certain screens on TOA Web.,3/31/26 9:59,FALSE,TRUE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To enable sorting of certain screens on TOA Web.; name=Disabled, value=false, description=Feature Flag To disable sorting of certain screens on TOA Web.",Enabled (true),Disabled (false),PS-626175
WFM-Classic,allow-protime-wfm-classic-sticky-filter,Feature Flag To check Sticky Filter.,4/17/26 12:49,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To enable Sticky Filter.; name=Disabled, value=false, description=Feature Flag To disable Sticky Filter.",Enabled (true),Disabled (false),PS-809651
WFM-Classic,allow-protime-wfm-classic-team-member-pagination-fix,Feature flag to fix pagination on the My Team and Request Administration pages - aligns employee number filter to use prefix match in count queries.,5/20/26 11:00,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Feature flag to enable the pagination fix for employee number filtering on My Team and Request Administration pages.; name=Disabled, value=false, description=Feature flag to disable the pagination fix for employee number filtering on My Team and Request Administration pages.",Enabled (true),Disabled (false),PS-891427
WFM-Classic,allow-protime-wfm-classic-teamtimesheet-totals,Feature Flag To call API Teamtimesheet totals based on pagination.,5/13/26 10:37,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To Run Totals As Per Pagination.; name=Disabled, value=false, description=Feature Flag To Run Totals As Per Total Personas.",Enabled (true),Disabled (false),PS-810716
WFM-Classic,allow-protime-wfm-classic-time-classic-holiday-eligibility-payrule,"Feature flag to fix holiday eligibility lookback/lookforward window to correctly anchor to complete week boundaries based on the configured week start day, excluding time worked in the current week containing the holiday",5/4/26 9:48,FALSE,FALSE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Holiday eligibility uses correctly anchored complete week boundaries, excluding time worked in the current week containing the holiday; name=Disallowed, value=false, description=Holiday eligibility uses previous behaviour, including time worked in the current week up to the holiday date",Allowed (true),Disallowed (false),PS-825326
WFM-Classic,allow-protime-wfmclassic-time-off-negativebalance,Feature Flag to fix Time off Request Negative Approval in TOA,5/15/26 11:29,FALSE,FALSE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Time off Request with negative balance is not allowed; name=Disallowed, value=false, description=Time off Request is allowed with negative balance",Allowed (true),Disallowed (false),PS-817907
WFM-Classic,allow-protime-wfm-classic-timeoff-accrual-cal-of-first-prorate-year,Feature Flag To enable and disable Accrual Calculation for First Prorate Year.,4/7/26 17:36,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Enable Feature Flag To enable and disable Accrual Calculation for First Prorate Year; name=Disabled, value=false, description=Disable Feature Flag To enable and disable Accrual Calculation for First Prorate Year",Enabled (true),Disabled (false),PS-771247
WFM-Classic,allow-protime-wfm-classic-timeoff-future-policy-pto,Feature Flag To enable and disable Future Policy PTO process for Time Off.,5/6/26 9:37,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Enable Feature Flag To enable Future Policy PTO process for Time Off.; name=Disabled, value=false, description=Disable Feature Flag To disable Future Policy PTO process for Time Off.",Enabled (true),Disabled (false),PS-656808
WFM-Classic,allow-protime-wfm-classic-timeoff-handle-null-future-hired-emp,Feature Flag To manage Null Exception on status for Future Hired Employee.,3/30/26 11:11,FALSE,TRUE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Enable Feature Flag To manage Null Exception on status for Future Hired Employee.; name=Disabled, value=false, description=Disable Feature Flag To manage Null Exception on status for Future Hired Employee.",Enabled (true),Disabled (false),PS-558263
WFM-Classic,allow-protime-wfm-classic-timeoff-payroll-api2-paydiag-enhancement,Feature Flag To enhance Error Messages in Pay Diagnostics for payroll API2.,3/30/26 11:11,FALSE,TRUE,12/31/26,"tenant.tenant in [ESL1001ELSE, BOM1001BOCOR, HOL1001HOLT, INF5000IFTC, STV1002VNC, BER1021BRLN, CEN1026CENM, CRO5000CRF, LAM1000LAC, UNI5003UWAC, ADV1023AVR] -> var: true (Enabled)",Disabled (false),"name=Enabled, value=true, description=Enable Feature Flag To enhance Error Messages in Pay Diagnostics for payroll API2; name=Disabled, value=false, description=Disable Feature Flag To enhance Error Messages in Pay Diagnostics for payroll API2",Enabled (true),Disabled (false),PS-630172
WFM-Classic,allow-protime-wfm-classic-timeoff-payroll-paystub-remaining-balance-fix,"Feature Flag to fix paystub remaining balance showing stale positive value for employees who no longer qualify, by flooring at zero and capping at the policy max annual usage instead of subtracting taken from maxPermitted.",5/20/26 10:34,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Enable Feature Flag to fix paystub remaining balance showing stale positive value for employees who no longer qualify.; name=Disabled, value=false, description=Disable Feature Flag to fix paystub remaining balance showing stale positive value for employees who no longer qualify.",Enabled (true),Disabled (false),PS-792633
WFM-Classic,allow-protime-wfm-classic-visible-balance-configurations,Feature Flag To manage Visible Balance Configurations in Time Off Policy.,3/30/26 13:13,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To manage Visible Balance Configurations in Time Off Policy.; name=Disabled, value=false, description=Feature Flag To manage Visible Balance Configurations in Time Off Policy.",Enabled (true),Disabled (false),PS-758274
WFM-Classic,enable-wfm-classic-pro-ignite-lite,Controls whether to display ignite lite style in WFM Classic pages in Ukg Pro Core.,2/23/26 20:03,FALSE,TRUE,12/31/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-732981
WFM-Classic,fix-protime-wfm-classic-timeoff-policy-year,Feature Flag To Timeoff Enable Policy Year Fix.,3/30/26 15:56,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Enable policy year fix - Timeoff Enable Policy Year Fix; name=Disabled, value=false, description=Disable policy year fix - Timeoff Enable Policy Year Fix",Enabled (true),Disabled (false),PS-656808
WFM-Classic,protime-wfm-classic-global-ptms-deprecated,This flag will be used to handle PTMS Deprecation gracefully,3/19/26 13:30,FALSE,FALSE,12/31/26,,Enable (true),"name=Enable, value=true, description=Flag will be turned ON; name=Disable, value=false, description=Flag will be turned OFF",Enable (true),Disable (false),PS-799783
WFM-Classic,allow-protime-wfm-classic-timeoff-dataimportcontroller-vulnerability,Feature Flag to fix security vulnerability in Time Off data import controller for WFM Classic,3/24/26 10:53,FALSE,TRUE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Allowed canonical path check for time off data import controller; name=Disallowed, value=false, description=Disallowed canonical path check for time off data import controller",Allowed (true),Disallowed (false),PS-750819
WFM-Classic,protime-wfm-classic-time-off-globalExportOptimization,Feature Flag to optimize global export by introducing batch processing,2/17/26 13:51,FALSE,TRUE,12/31/26,tenant.tenant in [BET1000BCOR] -> var: true (Allowed),Disallowed (false),"name=Allowed, value=true, description=Allowed batch processing for time off global export; name=Disallowed, value=false, description=Disallowed batch processing for time off global export",Allowed (true),Disallowed (false),PS-691666
WFM-Classic,allow-protime-wfm-classic-time-off-logtoaprocessingerror,Feature Flag to log TOA Error Processing Request on WFM Classic,4/6/26 17:32,FALSE,TRUE,12/31/27,enabling it for tenant: tenant.tenant in [CIT1034EGW] -> var: true (Allowed),Disallowed (false),"name=Allowed, value=true, description=Allowed log TOA Error processing request; name=Disallowed, value=false, description=Disallowed log TOA Error processing request",Allowed (true),Disallowed (false),PS-722820
WFM-Classic,protime-wfm-classic-time-off-payrollApi2Optimization,Feature Flag to remove 0 values while fetching accruals in API2.,2/17/26 10:31,FALSE,TRUE,12/31/26,"Enabling it for 1 tenant: tenant.tenant in [INF5000IFTC, ESL1001ELSE, BOM1001BOCOR, HOL1001HOLT, STV1002VNC, BER1021BRLN, CEN1026CENM, CRO5000CRF, LAM1000LAC, UNI5003UWAC, ADV1023AVR ] -> var: true (Allowed)",Disallowed (false),"name=Allowed, value=true, description=Allowed stored XSS protection for WFM Classic reports; name=Disallowed, value=false, description=Disallowed stored XSS protection for WFM Classic reports",Allowed (true),Disallowed (false),PS-725094
WFM-Classic,allow-protime-wfmclassic-time-off-time-employeesuspendedtoarequest,Feature Flag to fix Time off Request Approval in the time off suspension is being failed in TOA,4/23/26 6:27,FALSE,FALSE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Time off Request Approval in the time off suspension is restricted in TOA and TA; name=Disallowed, value=false, description=Time off Request Approval in the time off suspension is allowed in TOA and TA which is causing issues for some of the customers",Allowed (true),Disallowed (false),PS-558263
